No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location,Place,Place_2
Small area,2022-04-02 15:02:27,121.49,23.3,4.1,35.5,23.30N 121.49E,i.e. 69.4 km NNE of Taitung County(23.30N 121.49E,i.e. 69.4 km NNE of Taitung County)
Small area,2022-04-02 05:26:52,121.47,23.43,4.7,29,23.43N 121.47E,i.e. 64.2 km SSW of Hualien County(23.43N 121.47E,i.e. 64.2 km SSW of Hualien County)
Small area,2022-04-02 05:20:57,121.36,23.28,3.4,14.2,23.28N 121.36E,i.e. 82.8 km SSW of Hualien County(23.28N 121.36E,i.e. 82.8 km SSW of Hualien County)
Small area,2022-04-01 21:29:01,122.22,24.76,4.7,7.9,24.76N 122.22E,i.e. 46.4 km E of Yilan County(24.76N 122.22E,i.e. 46.4 km E of Yilan County)
Small area,2022-03-31 18:56:01,121.37,23.28,3.9,14.7,23.28N 121.37E,i.e. 82.4 km SSW of Hualien County(23.28N 121.37E,i.e. 82.4 km SSW of Hualien County)
Small area,2022-03-31 05:13:49,121.49,23.45,4.4,27.6,23.45N 121.49E,i.e. 61.7 km SSW of Hualien County(23.45N 121.49E,i.e. 61.7 km SSW of Hualien County)
Small area,2022-03-31 02:39:05,121.36,23.44,3.9,10.7,23.44N 121.36E,i.e. 66.6 km SSW of Hualien County(23.44N 121.36E,i.e. 66.6 km SSW of Hualien County)
Small area,2022-03-30 22:21:26,121.51,23.72,4,4.3,23.72N 121.51E,i.e. 31.9 km SSW of Hualien County(23.72N 121.51E,i.e. 31.9 km SSW of Hualien County)
Small area,2022-03-29 18:56:56,121.48,23.46,4.3,27.7,23.46N 121.48E,i.e. 59.9 km SSW of Hualien County(23.46N 121.48E,i.e. 59.9 km SSW of Hualien County)
Small area,2022-03-29 14:59:43,121.46,23.92,3.6,19.1,23.92N 121.46E,i.e. 17.9 km WSW of Hualien County(23.92N 121.46E,i.e. 17.9 km WSW of Hualien County)
34,2022-03-28 17:00:26,121.32,23.11,4.6,16.8,23.11N 121.32E,i.e. 42.9 km NNE of Taitung County(23.11N 121.32E,i.e. 42.9 km NNE of Taitung County)
Small area,2022-03-27 08:15:03,121.44,23.4,4.4,25.1,23.40N 121.44E,i.e. 76.9 km NNE of Taitung County(23.40N 121.44E,i.e. 76.9 km NNE of Taitung County)
Small area,2022-03-26 20:38:42,121.46,23.35,3.8,27.3,23.35N 121.46E,i.e. 72.9 km NNE of Taitung County(23.35N 121.46E,i.e. 72.9 km NNE of Taitung County)
Small area,2022-03-26 03:51:05,121.44,23.36,3.9,26.8,23.36N 121.44E,i.e. 72.7 km NNE of Taitung County(23.36N 121.44E,i.e. 72.7 km NNE of Taitung County)
Small area,2022-03-25 14:15:54,121.38,23.28,3.8,20.1,23.28N 121.38E,i.e. 62.2 km NNE of Taitung County(23.28N 121.38E,i.e. 62.2 km NNE of Taitung County)
Small area,2022-03-25 11:25:24,121.33,23.25,3.6,15.8,23.25N 121.33E,i.e. 86.9 km SSW of Hualien County(23.25N 121.33E,i.e. 86.9 km SSW of Hualien County)
Small area,2022-03-25 09:09:25,121.45,23.34,3.8,26.7,23.34N 121.45E,i.e. 71.9 km NNE of Taitung County(23.34N 121.45E,i.e. 71.9 km NNE of Taitung County)
33,2022-03-25 09:08:27,121.4,23.43,4,8.6,23.43N 121.40E,i.e. 66.4 km SSW of Hualien County(23.43N 121.40E,i.e. 66.4 km SSW of Hualien County)
Small area,2022-03-25 08:01:16,121.27,23.04,3.3,14.5,23.04N 121.27E,i.e. 33.6 km NNE of Taitung County(23.04N 121.27E,i.e. 33.6 km NNE of Taitung County)
Small area,2022-03-24 22:34:00,121.45,23.35,3.9,27.3,23.35N 121.45E,i.e. 72.3 km NNE of Taitung County(23.35N 121.45E,i.e. 72.3 km NNE of Taitung County)
Small area,2022-03-24 18:44:52,121.42,23.35,4.1,19.6,23.35N 121.42E,i.e. 71.8 km NNE of Taitung County(23.35N 121.42E,i.e. 71.8 km NNE of Taitung County)
Small area,2022-03-24 18:03:44,121.49,23.44,4.1,28.6,23.44N 121.49E,i.e. 62.5 km SSW of Hualien County(23.44N 121.49E,i.e. 62.5 km SSW of Hualien County)
Small area,2022-03-24 14:22:11,121.44,23.34,3.8,29.3,23.34N 121.44E,i.e. 71.5 km NNE of Taitung County(23.34N 121.44E,i.e. 71.5 km NNE of Taitung County)
Small area,2022-03-24 11:31:55,121.39,23.32,3.8,25.2,23.32N 121.39E,i.e. 66.7 km NNE of Taitung County(23.32N 121.39E,i.e. 66.7 km NNE of Taitung County)
Small area,2022-03-24 09:59:18,121.47,23.45,3.9,27.6,23.45N 121.47E,i.e. 61.9 km SSW of Hualien County(23.45N 121.47E,i.e. 61.9 km SSW of Hualien County)
Small area,2022-03-24 09:35:10,121.45,23.43,4.3,24.8,23.43N 121.45E,i.e. 81.0 km NNE of Taitung County(23.43N 121.45E,i.e. 81.0 km NNE of Taitung County)
32,2022-03-24 08:38:26,121.43,23.44,5.7,25,23.44N 121.43E,i.e. 63.5 km SSW of Hualien County(23.44N 121.43E,i.e. 63.5 km SSW of Hualien County)
Small area,2022-03-24 08:38:13,121.46,23.44,4.4,25.6,23.44N 121.46E,i.e. 62.9 km SSW of Hualien County(23.44N 121.46E,i.e. 62.9 km SSW of Hualien County)
31,2022-03-24 04:45:29,121.49,23.45,4.8,26.9,23.45N 121.49E,i.e. 61.2 km SSW of Hualien County(23.45N 121.49E,i.e. 61.2 km SSW of Hualien County)
Small area,2022-03-24 04:24:20,121.48,23.44,4,28.5,23.44N 121.48E,i.e. 63.0 km SSW of Hualien County(23.44N 121.48E,i.e. 63.0 km SSW of Hualien County)
Small area,2022-03-24 04:17:28,121.46,23.44,3.9,23.6,23.44N 121.46E,i.e. 62.9 km SSW of Hualien County(23.44N 121.46E,i.e. 62.9 km SSW of Hualien County)
Small area,2022-03-24 03:21:11,121.46,23.43,4,28.5,23.43N 121.46E,i.e. 81.4 km NNE of Taitung County(23.43N 121.46E,i.e. 81.4 km NNE of Taitung County)
Small area,2022-03-23 23:22:37,121.46,23.33,3.9,31.2,23.33N 121.46E,i.e. 71.5 km NNE of Taitung County(23.33N 121.46E,i.e. 71.5 km NNE of Taitung County)
Small area,2022-03-23 18:02:15,121.4,23.31,3.8,19.9,23.31N 121.40E,i.e. 66.9 km NNE of Taitung County(23.31N 121.40E,i.e. 66.9 km NNE of Taitung County)
Small area,2022-03-23 17:44:34,121.43,23.36,3.8,21,23.36N 121.43E,i.e. 72.9 km NNE of Taitung County(23.36N 121.43E,i.e. 72.9 km NNE of Taitung County)
Small area,2022-03-23 17:38:47,121.42,23.35,4.1,18.5,23.35N 121.42E,i.e. 72.0 km NNE of Taitung County(23.35N 121.42E,i.e. 72.0 km NNE of Taitung County)
30,2022-03-23 17:38:13,121.42,23.35,4.2,20.4,23.35N 121.42E,i.e. 72.0 km NNE of Taitung County(23.35N 121.42E,i.e. 72.0 km NNE of Taitung County)
Small area,2022-03-23 17:21:05,121.39,23.3,3.6,17.1,23.30N 121.39E,i.e. 65.0 km NNE of Taitung County(23.30N 121.39E,i.e. 65.0 km NNE of Taitung County)
29,2022-03-23 17:18:59,121.4,23.31,4.5,18.5,23.31N 121.40E,i.e. 66.7 km NNE of Taitung County(23.31N 121.40E,i.e. 66.7 km NNE of Taitung County)
Small area,2022-03-23 16:13:45,121.48,23.42,4,28.9,23.42N 121.48E,i.e. 81.2 km NNE of Taitung County(23.42N 121.48E,i.e. 81.2 km NNE of Taitung County)
Small area,2022-03-23 14:58:58,121.45,23.33,3.8,29.8,23.33N 121.45E,i.e. 70.8 km NNE of Taitung County(23.33N 121.45E,i.e. 70.8 km NNE of Taitung County)
Small area,2022-03-23 14:24:33,121.05,23.2,3.5,4.3,23.20N 121.05E,i.e. 50.2 km NNW of Taitung County(23.20N 121.05E,i.e. 50.2 km NNW of Taitung County)
Small area,2022-03-23 12:26:09,121.46,23.46,4,23.6,23.46N 121.46E,i.e. 60.7 km SSW of Hualien County(23.46N 121.46E,i.e. 60.7 km SSW of Hualien County)
28,2022-03-23 12:25:48,121.46,23.45,4.6,24.2,23.45N 121.46E,i.e. 61.9 km SSW of Hualien County(23.45N 121.46E,i.e. 61.9 km SSW of Hualien County)
Small area,2022-03-23 10:29:56,121.44,23.4,3.8,24.9,23.40N 121.44E,i.e. 76.9 km NNE of Taitung County(23.40N 121.44E,i.e. 76.9 km NNE of Taitung County)
Small area,2022-03-23 10:10:01,121.5,23.44,4.1,30.8,23.44N 121.50E,i.e. 61.8 km SSW of Hualien County(23.44N 121.50E,i.e. 61.8 km SSW of Hualien County)
27,2022-03-23 09:55:55,121.48,23.45,4.7,26.8,23.45N 121.48E,i.e. 62.0 km SSW of Hualien County(23.45N 121.48E,i.e. 62.0 km SSW of Hualien County)
Small area,2022-03-23 09:43:46,121.43,23.34,3.6,20.9,23.34N 121.43E,i.e. 70.5 km NNE of Taitung County(23.34N 121.43E,i.e. 70.5 km NNE of Taitung County)
Small area,2022-03-23 08:10:26,121.41,23.35,4.2,20.7,23.35N 121.41E,i.e. 70.7 km NNE of Taitung County(23.35N 121.41E,i.e. 70.7 km NNE of Taitung County)
Small area,2022-03-23 08:09:58,121.42,23.34,4.5,19.1,23.34N 121.42E,i.e. 70.9 km NNE of Taitung County(23.34N 121.42E,i.e. 70.9 km NNE of Taitung County)
Small area,2022-03-23 08:05:02,121.49,23.44,4.4,28.3,23.44N 121.49E,i.e. 62.4 km SSW of Hualien County(23.44N 121.49E,i.e. 62.4 km SSW of Hualien County)
Small area,2022-03-23 08:04:22,121.45,23.3,3.7,28.8,23.30N 121.45E,i.e. 67.9 km NNE of Taitung County(23.30N 121.45E,i.e. 67.9 km NNE of Taitung County)
Small area,2022-03-23 07:40:47,121.47,23.35,3.9,30.2,23.35N 121.47E,i.e. 73.9 km NNE of Taitung County(23.35N 121.47E,i.e. 73.9 km NNE of Taitung County)
Small area,2022-03-23 07:09:48,121.4,23.33,4,19.1,23.33N 121.40E,i.e. 68.2 km NNE of Taitung County(23.33N 121.40E,i.e. 68.2 km NNE of Taitung County)
Small area,2022-03-23 07:08:37,121.41,23.33,4.2,19.5,23.33N 121.41E,i.e. 68.8 km NNE of Taitung County(23.33N 121.41E,i.e. 68.8 km NNE of Taitung County)
Small area,2022-03-23 06:43:49,121.44,23.43,4.4,22.9,23.43N 121.44E,i.e. 79.8 km NNE of Taitung County(23.43N 121.44E,i.e. 79.8 km NNE of Taitung County)
26,2022-03-23 06:43:24,121.46,23.41,4.6,25.6,23.41N 121.46E,i.e. 79.7 km NNE of Taitung County(23.41N 121.46E,i.e. 79.7 km NNE of Taitung County)
Small area,2022-03-23 06:26:17,121.45,23.37,4.4,25,23.37N 121.45E,i.e. 74.9 km NNE of Taitung County(23.37N 121.45E,i.e. 74.9 km NNE of Taitung County)
Small area,2022-03-23 06:21:24,121.48,23.49,4.2,23.9,23.49N 121.48E,i.e. 57.0 km SSW of Hualien County(23.49N 121.48E,i.e. 57.0 km SSW of Hualien County)
Small area,2022-03-23 05:50:22,121.42,23.37,3.9,23,23.37N 121.42E,i.e. 73.3 km NNE of Taitung County(23.37N 121.42E,i.e. 73.3 km NNE of Taitung County)
Small area,2022-03-23 05:44:08,121.4,23.33,4,18.5,23.33N 121.40E,i.e. 68.8 km NNE of Taitung County(23.33N 121.40E,i.e. 68.8 km NNE of Taitung County)
25,2022-03-23 05:41:08,121.42,23.33,5,19.3,23.33N 121.42E,i.e. 69.6 km NNE of Taitung County(23.33N 121.42E,i.e. 69.6 km NNE of Taitung County)
Small area,2022-03-23 05:33:19,121.41,23.47,4,19.3,23.47N 121.41E,i.e. 61.4 km SSW of Hualien County(23.47N 121.41E,i.e. 61.4 km SSW of Hualien County)
Small area,2022-03-23 05:27:47,121.49,23.43,4.1,27.2,23.43N 121.49E,i.e. 82.6 km NNE of Taitung County(23.43N 121.49E,i.e. 82.6 km NNE of Taitung County)
Small area,2022-03-23 05:12:16,121.46,23.36,4,29.8,23.36N 121.46E,i.e. 74.2 km NNE of Taitung County(23.36N 121.46E,i.e. 74.2 km NNE of Taitung County)
Small area,2022-03-23 05:09:53,121.05,24.73,2.5,7.3,24.73N 121.05E,i.e. 12.0 km SSE of Hsinchu County(24.73N 121.05E,i.e. 12.0 km SSE of Hsinchu County)
Small area,2022-03-23 04:49:40,121.41,23.41,4,21.8,23.41N 121.41E,i.e. 76.7 km NNE of Taitung County(23.41N 121.41E,i.e. 76.7 km NNE of Taitung County)
Small area,2022-03-23 04:40:34,121.49,23.43,4.5,25.8,23.43N 121.49E,i.e. 82.5 km NNE of Taitung County(23.43N 121.49E,i.e. 82.5 km NNE of Taitung County)
24,2022-03-23 04:29:59,121.43,23.42,6,22.6,23.42N 121.43E,i.e. 78.9 km NNE of Taitung County(23.42N 121.43E,i.e. 78.9 km NNE of Taitung County)
Small area,2022-03-23 04:11:31,121.44,23.34,3.7,29.3,23.34N 121.44E,i.e. 70.8 km NNE of Taitung County(23.34N 121.44E,i.e. 70.8 km NNE of Taitung County)
Small area,2022-03-23 04:04:35,121.48,23.37,3.8,31.7,23.37N 121.48E,i.e. 76.1 km NNE of Taitung County(23.37N 121.48E,i.e. 76.1 km NNE of Taitung County)
Small area,2022-03-23 03:46:25,121.5,23.49,4.1,25.9,23.49N 121.50E,i.e. 56.4 km SSW of Hualien County(23.49N 121.50E,i.e. 56.4 km SSW of Hualien County)
Small area,2022-03-23 03:36:49,121.49,23.5,4.6,24.5,23.50N 121.49E,i.e. 56.3 km SSW of Hualien County(23.50N 121.49E,i.e. 56.3 km SSW of Hualien County)
23,2022-03-23 03:35:03,121.5,23.48,5.8,28.9,23.48N 121.50E,i.e. 57.8 km SSW of Hualien County(23.48N 121.50E,i.e. 57.8 km SSW of Hualien County)
Small area,2022-03-23 03:14:56,121.5,23.47,4.7,27.5,23.47N 121.50E,i.e. 59.6 km SSW of Hualien County(23.47N 121.50E,i.e. 59.6 km SSW of Hualien County)
Small area,2022-03-23 03:03:42,121.43,23.36,3.9,25.6,23.36N 121.43E,i.e. 72.5 km NNE of Taitung County(23.36N 121.43E,i.e. 72.5 km NNE of Taitung County)
Small area,2022-03-23 02:42:54,121.49,23.41,4,32.1,23.41N 121.49E,i.e. 80.3 km NNE of Taitung County(23.41N 121.49E,i.e. 80.3 km NNE of Taitung County)
Small area,2022-03-23 02:42:41,121.48,23.36,4,31.6,23.36N 121.48E,i.e. 74.7 km NNE of Taitung County(23.36N 121.48E,i.e. 74.7 km NNE of Taitung County)
Small area,2022-03-23 02:40:55,121.45,23.45,4.4,25.2,23.45N 121.45E,i.e. 62.9 km SSW of Hualien County(23.45N 121.45E,i.e. 62.9 km SSW of Hualien County)
Small area,2022-03-23 02:39:29,121.43,23.38,4,23.3,23.38N 121.43E,i.e. 75.2 km NNE of Taitung County(23.38N 121.43E,i.e. 75.2 km NNE of Taitung County)
22,2022-03-23 02:37:50,121.52,23.42,5.5,35.7,23.42N 121.52E,i.e. 83.1 km NNE of Taitung County(23.42N 121.52E,i.e. 83.1 km NNE of Taitung County)
Small area,2022-03-23 02:22:12,121.44,23.49,4.4,23.7,23.49N 121.44E,i.e. 58.8 km SSW of Hualien County(23.49N 121.44E,i.e. 58.8 km SSW of Hualien County)
Small area,2022-03-23 02:19:04,121.49,23.46,4.2,27.2,23.46N 121.49E,i.e. 60.6 km SSW of Hualien County(23.46N 121.49E,i.e. 60.6 km SSW of Hualien County)
Small area,2022-03-23 02:17:25,121.44,23.37,4,23.7,23.37N 121.44E,i.e. 74.5 km NNE of Taitung County(23.37N 121.44E,i.e. 74.5 km NNE of Taitung County)
Small area,2022-03-23 02:11:34,121.45,23.4,5,23.4,23.40N 121.45E,i.e. 78.1 km NNE of Taitung County(23.40N 121.45E,i.e. 78.1 km NNE of Taitung County)
Small area,2022-03-23 02:10:51,121.43,23.5,4.7,18.7,23.50N 121.43E,i.e. 57.7 km SSW of Hualien County(23.50N 121.43E,i.e. 57.7 km SSW of Hualien County)
Small area,2022-03-23 02:03:48,121.44,23.39,4.7,23.7,23.39N 121.44E,i.e. 76.3 km NNE of Taitung County(23.39N 121.44E,i.e. 76.3 km NNE of Taitung County)
Small area,2022-03-23 02:03:12,121.46,23.36,4.2,29.8,23.36N 121.46E,i.e. 74.1 km NNE of Taitung County(23.36N 121.46E,i.e. 74.1 km NNE of Taitung County)
Small area,2022-03-23 02:00:53,121.44,23.41,4.3,23.4,23.41N 121.44E,i.e. 78.0 km NNE of Taitung County(23.41N 121.44E,i.e. 78.0 km NNE of Taitung County)
Small area,2022-03-23 01:59:50,121.45,23.34,4.3,29.3,23.34N 121.45E,i.e. 71.7 km NNE of Taitung County(23.34N 121.45E,i.e. 71.7 km NNE of Taitung County)
Small area,2022-03-23 01:58:47,121.51,23.45,4.1,24.9,23.45N 121.51E,i.e. 61.0 km SSW of Hualien County(23.45N 121.51E,i.e. 61.0 km SSW of Hualien County)
Small area,2022-03-23 01:58:35,121.49,23.45,3.7,29.8,23.45N 121.49E,i.e. 61.4 km SSW of Hualien County(23.45N 121.49E,i.e. 61.4 km SSW of Hualien County)
Small area,2022-03-23 01:55:46,121.45,23.38,4.5,23.7,23.38N 121.45E,i.e. 75.4 km NNE of Taitung County(23.38N 121.45E,i.e. 75.4 km NNE of Taitung County)
Small area,2022-03-23 01:54:04,121.51,23.43,4.2,30.1,23.43N 121.51E,i.e. 63.4 km SSW of Hualien County(23.43N 121.51E,i.e. 63.4 km SSW of Hualien County)
Small area,2022-03-23 01:52:58,121.43,23.4,4.5,22.7,23.40N 121.43E,i.e. 76.9 km NNE of Taitung County(23.40N 121.43E,i.e. 76.9 km NNE of Taitung County)
Small area,2022-03-23 01:51:39,121.46,23.45,4.2,22.9,23.45N 121.46E,i.e. 62.2 km SSW of Hualien County(23.45N 121.46E,i.e. 62.2 km SSW of Hualien County)
Small area,2022-03-23 01:47:37,121.47,23.37,4.3,31.6,23.37N 121.47E,i.e. 75.7 km NNE of Taitung County(23.37N 121.47E,i.e. 75.7 km NNE of Taitung County)
Small area,2022-03-23 01:47:03,121.51,23.43,4.6,28.6,23.43N 121.51E,i.e. 62.8 km S of Hualien County(23.43N 121.51E,i.e. 62.8 km S of Hualien County)
21,2022-03-23 01:46:05,121.48,23.38,4.8,30.2,23.38N 121.48E,i.e. 77.3 km NNE of Taitung County(23.38N 121.48E,i.e. 77.3 km NNE of Taitung County)
Small area,2022-03-23 01:45:26,121.44,23.46,4.4,20.9,23.46N 121.44E,i.e. 61.8 km SSW of Hualien County(23.46N 121.44E,i.e. 61.8 km SSW of Hualien County)
Small area,2022-03-23 01:44:06,121.45,23.41,4.9,21.7,23.41N 121.45E,i.e. 79.0 km NNE of Taitung County(23.41N 121.45E,i.e. 79.0 km NNE of Taitung County)
20,2022-03-23 01:43:25,121.43,23.42,6.2,22.6,23.42N 121.43E,i.e. 79.2 km NNE of Taitung County(23.42N 121.43E,i.e. 79.2 km NNE of Taitung County)
Small area,2022-03-23 01:42:38,121.49,23.44,5.7,28.4,23.44N 121.49E,i.e. 62.5 km SSW of Hualien County(23.44N 121.49E,i.e. 62.5 km SSW of Hualien County)
19,2022-03-23 01:41:38,121.61,23.4,6.7,25.7,23.40N 121.61E,i.e. 65.6 km S of Hualien County(23.40N 121.61E,i.e. 65.6 km S of Hualien County)
Small area,2022-03-22 07:09:12,122.2,23.98,5,18.6,23.98N 122.20E,i.e. 59.0 km E of Hualien County(23.98N 122.20E,i.e. 59.0 km E of Hualien County)
Small area,2022-03-22 04:51:35,121.9,24.5,3.5,12.2,24.50N 121.90E,i.e. 29.0 km SSE of Yilan County(24.50N 121.90E,i.e. 29.0 km SSE of Yilan County)
Small area,2022-03-20 02:17:02,120.69,23.63,3.1,14.7,23.63N 120.69E,i.e. 30.0 km S of Nantou County(23.63N 120.69E,i.e. 30.0 km S of Nantou County)
Small area,2022-03-19 23:38:57,120.69,23.63,3.6,14.9,23.63N 120.69E,i.e. 30.2 km S of Nantou County(23.63N 120.69E,i.e. 30.2 km S of Nantou County)
Small area,2022-03-19 23:37:26,120.69,23.63,3.2,15,23.63N 120.69E,i.e. 30.1 km S of Nantou County(23.63N 120.69E,i.e. 30.1 km S of Nantou County)
Small area,2022-03-19 23:30:29,120.69,23.63,3.2,14.8,23.63N 120.69E,i.e. 30.5 km S of Nantou County(23.63N 120.69E,i.e. 30.5 km S of Nantou County)
17,2022-03-19 23:23:42,120.69,23.64,5.1,14.8,23.64N 120.69E,i.e. 29.4 km S of Nantou County(23.64N 120.69E,i.e. 29.4 km S of Nantou County)
Small area,2022-03-19 21:59:23,120.69,23.63,3.4,14.6,23.63N 120.69E,i.e. 29.9 km S of Nantou County(23.63N 120.69E,i.e. 29.9 km S of Nantou County)
Small area,2022-03-19 20:52:26,120.69,23.63,3.3,14.7,23.63N 120.69E,i.e. 29.7 km S of Nantou County(23.63N 120.69E,i.e. 29.7 km S of Nantou County)
Small area,2022-03-18 20:50:56,122.17,23.99,4.8,16.1,23.99N 122.17E,i.e. 56.4 km E of Hualien County(23.99N 122.17E,i.e. 56.4 km E of Hualien County)
Small area,2022-03-18 07:47:24,121.96,23.82,4,40.4,23.82N 121.96E,i.e. 39.5 km ESE of Hualien County(23.82N 121.96E,i.e. 39.5 km ESE of Hualien County)
Small area,2022-03-18 00:55:54,122.21,24.77,4,4.5,24.77N 122.21E,i.e. 45.0 km E of Yilan County(24.77N 122.21E,i.e. 45.0 km E of Yilan County)
Small area,2022-03-17 18:23:59,121.46,23.93,3.2,16.2,23.93N 121.46E,i.e. 17.4 km WSW of Hualien County(23.93N 121.46E,i.e. 17.4 km WSW of Hualien County)
Small area,2022-03-16 13:55:25,121.83,24.32,3.6,13.6,24.32N 121.83E,i.e. 45.6 km S of Yilan County(24.32N 121.83E,i.e. 45.6 km S of Yilan County)
15,2022-03-14 19:30:23,120.67,23.86,4,28.5,23.86N 120.67E,i.e. 4.5 km SSW of Nantou County(23.86N 120.67E,i.e. 4.5 km SSW of Nantou County)
Small area,2022-03-12 06:25:21,121.45,23.91,3.5,19.9,23.91N 121.45E,i.e. 19.7 km WSW of Hualien County(23.91N 121.45E,i.e. 19.7 km WSW of Hualien County)
14,2022-03-09 20:22:14,121.43,23.26,5.7,33.4,23.26N 121.43E,i.e. 62.2 km NNE of Taitung County(23.26N 121.43E,i.e. 62.2 km NNE of Taitung County)
Small area,2022-03-08 02:05:54,122.95,24.14,5.2,76.4,24.14N 122.95E,i.e. 136.7 km E of Hualien County(24.14N 122.95E,i.e. 136.7 km E of Hualien County)
Small area,2022-03-06 11:51:56,122.23,24.81,5.2,110.6,24.81N 122.23E,i.e. 47.8 km E of Yilan County(24.81N 122.23E,i.e. 47.8 km E of Yilan County)
Small area,2022-03-06 09:24:17,121.47,23.96,3.6,19.7,23.96N 121.47E,i.e. 15.5 km W of Hualien County(23.96N 121.47E,i.e. 15.5 km W of Hualien County)
Small area,2022-03-05 14:54:08,121.94,24.39,4,32.3,24.39N 121.94E,i.e. 41.6 km SSE of Yilan County(24.39N 121.94E,i.e. 41.6 km SSE of Yilan County)
Small area,2022-03-04 15:54:46,121.06,23.01,3.6,3.4,23.01N 121.06E,i.e. 29.6 km NNW of Taitung County(23.01N 121.06E,i.e. 29.6 km NNW of Taitung County)
Small area,2022-03-03 19:33:22,121.9,24.51,3.8,11.3,24.51N 121.90E,i.e. 28.3 km SSE of Yilan County(24.51N 121.90E,i.e. 28.3 km SSE of Yilan County)
Small area,2022-03-02 20:31:48,121.29,23.4,3.6,11.7,23.40N 121.29E,i.e. 73.6 km SSW of Hualien County(23.40N 121.29E,i.e. 73.6 km SSW of Hualien County)
Small area,2022-02-26 00:42:23,121.75,24.24,4.4,62.4,24.24N 121.75E,i.e. 30.8 km NNE of Hualien County(24.24N 121.75E,i.e. 30.8 km NNE of Hualien County)
Small area,2022-02-20 18:49:43,122.44,24.01,5.1,28.9,24.01N 122.44E,i.e. 83.8 km E of Hualien County(24.01N 122.44E,i.e. 83.8 km E of Hualien County)
Small area,2022-02-20 14:13:49,121.75,24.26,4,11.4,24.26N 121.75E,i.e. 33.2 km NNE of Hualien County(24.26N 121.75E,i.e. 33.2 km NNE of Hualien County)
Small area,2022-02-18 22:27:20,121.78,24.04,4.1,48.9,24.04N 121.78E,i.e. 16.7 km ENE of Hualien County(24.04N 121.78E,i.e. 16.7 km ENE of Hualien County)
Small area,2022-02-18 10:05:26,121.89,24.45,3.7,46.2,24.45N 121.89E,i.e. 33.1 km SSE of Yilan County(24.45N 121.89E,i.e. 33.1 km SSE of Yilan County)
13,2022-02-16 13:41:59,121.46,23.92,4.4,20.8,23.92N 121.46E,i.e. 18.5 km WSW of Hualien County(23.92N 121.46E,i.e. 18.5 km WSW of Hualien County)
Small area,2022-02-16 11:35:38,121.74,24.42,3.8,34.5,24.42N 121.74E,i.e. 34.2 km S of Yilan County(24.42N 121.74E,i.e. 34.2 km S of Yilan County)
Small area,2022-02-12 02:19:31,122.25,24.04,4.4,22.2,24.04N 122.25E,i.e. 64.1 km E of Hualien County(24.04N 122.25E,i.e. 64.1 km E of Hualien County)
12,2022-02-12 00:43:13,122.27,24.03,5.6,26.4,24.03N 122.27E,i.e. 66.4 km E of Hualien County(24.03N 122.27E,i.e. 66.4 km E of Hualien County)
Small area,2022-02-11 20:51:29,122.23,24.05,4.9,20.9,24.05N 122.23E,i.e. 62.5 km E of Hualien County(24.05N 122.23E,i.e. 62.5 km E of Hualien County)
Small area,2022-02-11 11:01:01,121.93,24.41,4.4,33.4,24.41N 121.93E,i.e. 39.2 km SSE of Yilan County(24.41N 121.93E,i.e. 39.2 km SSE of Yilan County)
Small area,2022-02-10 17:44:13,121,24.69,2.6,10.5,24.69N 121.00E,i.e. 15.4 km S of Hsinchu County(24.69N 121.00E,i.e. 15.4 km S of Hsinchu County)
Small area,2022-02-08 10:59:47,121.01,24.71,3.2,5.4,24.71N 121.01E,i.e. 13.5 km S of Hsinchu County(24.71N 121.01E,i.e. 13.5 km S of Hsinchu County)
Small area,2022-02-07 20:07:03,121.95,24.41,3.9,33.8,24.41N 121.95E,i.e. 40.4 km SSE of Yilan County(24.41N 121.95E,i.e. 40.4 km SSE of Yilan County)
Small area,2022-02-07 19:00:25,121.92,24.4,4.1,34.4,24.40N 121.92E,i.e. 40.4 km SSE of Yilan County(24.40N 121.92E,i.e. 40.4 km SSE of Yilan County)
11,2022-02-07 18:58:25,121.94,24.41,5.6,34.6,24.41N 121.94E,i.e. 40.4 km SSE of Yilan County(24.41N 121.94E,i.e. 40.4 km SSE of Yilan County)
Small area,2022-02-07 13:31:35,121.85,24.52,3.8,11.1,24.52N 121.85E,i.e. 25.1 km SSE of Yilan County(24.52N 121.85E,i.e. 25.1 km SSE of Yilan County)
Small area,2022-02-07 13:30:02,121.84,24.52,3.4,10.8,24.52N 121.84E,i.e. 24.6 km SSE of Yilan County(24.52N 121.84E,i.e. 24.6 km SSE of Yilan County)
Small area,2022-02-07 10:33:26,121.56,23.84,3.7,11.3,23.84N 121.56E,i.e. 17.5 km SSW of Hualien County(23.84N 121.56E,i.e. 17.5 km SSW of Hualien County)
10,2022-02-07 07:52:40,121.83,24.52,4.2,9,24.52N 121.83E,i.e. 24.4 km SSE of Yilan County(24.52N 121.83E,i.e. 24.4 km SSE of Yilan County)
Small area,2022-02-06 02:55:16,121.85,24.41,3.4,12.3,24.41N 121.85E,i.e. 37.0 km SSE of Yilan County(24.41N 121.85E,i.e. 37.0 km SSE of Yilan County)
8,2022-02-05 21:52:06,121.59,23.73,4.1,5.9,23.73N 121.59E,i.e. 29.0 km S of Hualien County(23.73N 121.59E,i.e. 29.0 km S of Hualien County)
